iter	F1	Logloss
0	0.8550138159	0.6076443163
1	0.8538560666	0.534982752
2	0.8566712102	0.4719038893
3	0.855865168	0.417807856
4	0.8602498641	0.3730957169
5	0.8592653612	0.3353594538
6	0.8592653612	0.302728384
7	0.8611113515	0.2748459763
8	0.8595092479	0.2516769443
9	0.8622159776	0.2325273144
10	0.862521455	0.2160613012
11	0.86178306	0.2017135177
12	0.8615997629	0.1892663228
13	0.862521455	0.1793073081
14	0.8625825764	0.1697587733
15	0.862521455	0.1615207601
16	0.8626437065	0.1545581477
17	0.8624603422	0.1484540466
18	0.8627048453	0.1432873315
19	0.8626437065	0.1388018081
20	0.8627659927	0.1350276231
21	0.8628271488	0.1316554623
22	0.8628271488	0.1285973619
23	0.8628271488	0.1260849996
24	0.8629494871	0.1237269682
25	0.8628883136	0.1215794529
26	0.8629494871	0.1197918303
27	0.8629494871	0.1182677315
28	0.8630106692	0.1173084003
29	0.8629494871	0.1160916887
30	0.8629494871	0.1149976051
31	0.8629494871	0.1143291197
32	0.8628883136	0.1133404143
33	0.8628883136	0.1125441955
34	0.8628271488	0.1118214748
35	0.8628883136	0.1114043842
36	0.8628271488	0.1106407014
37	0.8628271488	0.1102201151
38	0.8628883136	0.1097788514
39	0.8629494871	0.1094637802
40	0.8629494871	0.1089676333
41	0.8629494871	0.1087543741
42	0.8629494871	0.108374343
43	0.8629494871	0.108001833
44	0.8629494871	0.1076514312
45	0.8629494871	0.1074215979
46	0.8629494871	0.1071861729
47	0.8630106692	0.1069309118
48	0.8630106692	0.106676425
49	0.8630106692	0.1064988517
50	0.8630106692	0.106250821
51	0.8630106692	0.1060504392
52	0.8629494871	0.1058402048
53	0.8629494871	0.1055457937
54	0.8629494871	0.1053691526
55	0.8629494871	0.1052106471
56	0.8629494871	0.1051242254
57	0.8637479627	0.1049479272
58	0.8637479627	0.104827748
59	0.8637479627	0.1047218848
60	0.8637479627	0.1046567933
61	0.8637479627	0.1044493032
62	0.8637479627	0.1043296406
63	0.8637479627	0.1042375885
64	0.8637479627	0.1042137842
65	0.8637479627	0.1041725058
66	0.8637479627	0.1040737449
67	0.8637479627	0.104062231
68	0.8637479627	0.1039366902
69	0.8637479627	0.103811371
70	0.8637479627	0.1037868961
71	0.8637479627	0.1037712191
72	0.8637479627	0.1037324092
73	0.8637479627	0.1037040093
74	0.8637479627	0.1036508994
75	0.8637479627	0.1036384326
76	0.8637479627	0.1036342782
77	0.8637479627	0.1035844317
78	0.8637479627	0.1035390299
79	0.8637479627	0.1035014857
80	0.8637479627	0.1034404645
81	0.8637479627	0.1031917172
82	0.8637479627	0.103127526
83	0.8637479627	0.1031188206
84	0.8637479627	0.1030432679
85	0.8637479627	0.1029607748
86	0.8637479627	0.1029371013
87	0.8637479627	0.1028382541
88	0.8637479627	0.1026702626
89	0.8637479627	0.1026540725
90	0.8637479627	0.1026508359
91	0.8637479627	0.1025467445
92	0.8637479627	0.1025135452
93	0.8637479627	0.1025133509
94	0.8637479627	0.1024703183
95	0.8637479627	0.102391066
96	0.8637479627	0.1023335394
97	0.8637479627	0.1022921843
98	0.8637479627	0.1022876418
99	0.8637479627	0.1022474556
100	0.8637479627	0.1021808852
101	0.8637479627	0.1021808833
102	0.8637479627	0.1021571085
103	0.8637479627	0.1021120563
104	0.8637479627	0.1020237923
105	0.8637479627	0.1020078141
106	0.8637479627	0.1018276406
107	0.8637479627	0.1018051521
108	0.8637479627	0.1017951211
109	0.8637479627	0.1017932874
110	0.8637479627	0.1017888232
111	0.8637479627	0.1015685156
112	0.8637479627	0.1015032111
113	0.8637479627	0.1014877748
114	0.8637479627	0.1014647871
115	0.8637479627	0.1014210319
116	0.8637479627	0.1013871152
117	0.8637479627	0.1012760399
118	0.8637479627	0.1012705187
119	0.8637479627	0.1011554931
120	0.8637479627	0.1011017743
121	0.8637479627	0.1009428633
122	0.8637479627	0.100930912
123	0.8637479627	0.1009064562
124	0.8637479627	0.100861869
125	0.8637479627	0.1007543755
126	0.8637479627	0.1007541343
127	0.8637479627	0.1006829938
128	0.8637479627	0.1006169737
129	0.8637479627	0.1005313569
130	0.8637479627	0.1005273665
131	0.8637479627	0.1004551578
132	0.8637479627	0.1004406363
133	0.8637479627	0.1004403377
134	0.8637479627	0.1004400731
135	0.8637479627	0.1004343525
136	0.8637479627	0.1004341337
137	0.8637479627	0.1003487088
138	0.8637479627	0.1003276514
139	0.8637479627	0.1002359187
140	0.8637479627	0.1002356598
141	0.8637479627	0.1001390344
142	0.8637479627	0.1001325479
143	0.8637479627	0.1001322673
144	0.8637479627	0.1001320367
145	0.8637479627	0.1000461102
146	0.8637479627	0.1000130408
147	0.8637479627	0.09999416843
148	0.8637479627	0.09991000705
149	0.8637479627	0.09990976354
150	0.8637479627	0.09983332846
151	0.8637479627	0.09968040379
152	0.8637479627	0.09961518344
153	0.8637479627	0.09960527131
154	0.8637479627	0.09959096153
155	0.8637479627	0.09957869174
156	0.8637479627	0.09951085575
157	0.8637479627	0.09950141175
158	0.8637479627	0.09948765506
159	0.8637479627	0.09942514698
160	0.8637479627	0.09941878127
161	0.8637479627	0.09941869435
162	0.8637479627	0.09937569927
163	0.8637479627	0.09935196105
164	0.8637479627	0.09932367874
165	0.8637479627	0.09928473366
166	0.8637479627	0.09924307251
167	0.8637479627	0.09910286958
168	0.8637479627	0.0991025967
169	0.8637479627	0.09904016959
170	0.8637479627	0.09893006202
171	0.8637479627	0.09884984135
172	0.8637479627	0.09878625378
173	0.8637479627	0.09877394535
174	0.8637479627	0.098756526
175	0.8637479627	0.09871947076
176	0.8637479627	0.09868177786
177	0.8637479627	0.09865941274
178	0.8637479627	0.09865918236
179	0.8637479627	0.09865614565
180	0.8637479627	0.09863462261
181	0.8637479627	0.09857283927
182	0.8637479627	0.0985597149
183	0.8637479627	0.09846918741
184	0.8637479627	0.09835383233
185	0.8637479627	0.09827112078
186	0.8637479627	0.09820623614
187	0.8637479627	0.09816164493
188	0.8637479627	0.09815716661
189	0.8637479627	0.0981306699
190	0.8637479627	0.09812758182
191	0.8637479627	0.09807648468
192	0.8637479627	0.09800281977
193	0.8637479627	0.09800255289
194	0.8637479627	0.09794830403
195	0.8637479627	0.09782607787
196	0.8637479627	0.09778182507
197	0.8637479627	0.09770777173
198	0.8637479627	0.09762996229
199	0.8637479627	0.09752772448
200	0.8637479627	0.09746092203
201	0.8637479627	0.09743655953
202	0.8637479627	0.09743618791
203	0.8637479627	0.09733078735
204	0.8637479627	0.09728547205
205	0.8637479627	0.09722123992
206	0.8637479627	0.0970825421
207	0.8637479627	0.09702327885
208	0.8637479627	0.09699174295
209	0.8637479627	0.09699123223
210	0.8637479627	0.09686615309
211	0.8637479627	0.09685301903
212	0.8637479627	0.09672292224
213	0.8637479627	0.09672231851
214	0.8637479627	0.09664074071
215	0.8637479627	0.09660674952
216	0.8637479627	0.09657611193
217	0.8637479627	0.0965332491
218	0.8637479627	0.09639942746
219	0.8637479627	0.09635669611
220	0.8637479627	0.09632035313
221	0.8637479627	0.09624090005
222	0.8637479627	0.09615816986
223	0.8637479627	0.09607617877
224	0.8637479627	0.09607171081
225	0.8637479627	0.0959338094
226	0.8637479627	0.09583725128
227	0.8637479627	0.09569293418
228	0.8637479627	0.09569215243
229	0.8637479627	0.09562139483
230	0.8637479627	0.09556548416
231	0.8637479627	0.09551167051
232	0.8637479627	0.0954268253
233	0.8637479627	0.09537871226
234	0.8637479627	0.09528172562
235	0.8637479627	0.09519840311
236	0.8637479627	0.09505213251
237	0.8637479627	0.09494100482
238	0.8637479627	0.09486553916
239	0.8637479627	0.09486258025
240	0.8637479627	0.09483932702
241	0.8637479627	0.09483600261
242	0.8637479627	0.09476705352
243	0.8637479627	0.09472361584
244	0.8637479627	0.09461549027
245	0.8637479627	0.09451312554
246	0.8637479627	0.09444373703
247	0.8637479627	0.09434798291
248	0.8637479627	0.09431857331
249	0.8637479627	0.09431720826
250	0.8637479627	0.09423790701
251	0.8637479627	0.09416158925
252	0.8637479627	0.09407947842
253	0.8637479627	0.09398412374
254	0.8637479627	0.09388175326
255	0.8637479627	0.09387830397
256	0.8637479627	0.09377690815
257	0.8637479627	0.09376607582
258	0.8637479627	0.09376168451
259	0.8637479627	0.09369274466
260	0.8637479627	0.09368687768
261	0.8637479627	0.09362999309
262	0.8637479627	0.09351567629
263	0.8637479627	0.09343354954
264	0.8637479627	0.09342689689
265	0.8637479627	0.09342256658
266	0.8637479627	0.09342215725
267	0.8637479627	0.09334981333
268	0.8637479627	0.09330629591
269	0.8637479627	0.09325910697
270	0.8637479627	0.09322103223
271	0.8637479627	0.09315712754
272	0.8637479627	0.09315466677
273	0.8637479627	0.09315239965
274	0.8637479627	0.09309321585
275	0.8637479627	0.09301982073
276	0.8637479627	0.09301772863
277	0.8637479627	0.09300966034
278	0.8637479627	0.09300760729
279	0.8637479627	0.09294037157
280	0.8637479627	0.09285170289
281	0.8637479627	0.09276993104
282	0.8637479627	0.0927666284
283	0.8637479627	0.0927400483
284	0.8637479627	0.09273834029
285	0.8637479627	0.09267571671
286	0.8637479627	0.09267422109
287	0.8637479627	0.09267127783
288	0.8637479627	0.09259656628
289	0.8637479627	0.09259521348
290	0.8637479627	0.09253318696
291	0.8637479627	0.0924949267
292	0.8637479627	0.09244858958
293	0.8637479627	0.0923946253
294	0.8637479627	0.09233371426
295	0.8637479627	0.09227568771
296	0.8637479627	0.09227428905
297	0.8637479627	0.0922147195
298	0.8637479627	0.09214217238
299	0.8637479627	0.09205728574
300	0.8637479627	0.09205611486
301	0.8637479627	0.09198333917
302	0.8637479627	0.09192029038
303	0.8637479627	0.09191920758
304	0.8637479627	0.09188667265
305	0.8637479627	0.0917902337
306	0.8637479627	0.09172391613
307	0.8637479627	0.09165402126
308	0.8637479627	0.09162464998
309	0.8637479627	0.09157141625
310	0.8637479627	0.09156485317
311	0.8637479627	0.09156267398
312	0.8637479627	0.09149661277
313	0.8637479627	0.09144297107
314	0.8637479627	0.09144198506
315	0.8637479627	0.09135328346
316	0.8637479627	0.09127188321
317	0.8637479627	0.09124572858
318	0.8637479627	0.09118172749
319	0.8637479627	0.09108487973
320	0.8637479627	0.09103743744
321	0.8637479627	0.09097068937
322	0.8637479627	0.09086910892
323	0.8637479627	0.09082796101
324	0.8638091584	0.09082606293
325	0.8638091584	0.09074099921
326	0.8638091584	0.09070696112
327	0.8637479627	0.09064160803
328	0.8637479627	0.09062067124
329	0.8637479627	0.09051362622
330	0.8637479627	0.09043524426
331	0.8637479627	0.09038035201
332	0.8637479627	0.09026682816
333	0.8637479627	0.09014936719
